"filename", "language", "JavaScript", "TypeScript React", "Markdown", "JSON", "Properties", "Objective-C", "C++", "Groovy", "YAML", "Batch", "XML", "Java", "comment", "blank", "total"
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Privacy.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 65
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Help.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Home.styles.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/More.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Notifications.styles.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersCode.styles.js", "JavaScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersCompleted.styles.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/NotifyOthersEntry.styles.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 21
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/Styles/Privacy.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/App/TestApi.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33, 204
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/APIUseIntro.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/ExposureAlertIntro.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/LanguageIntro.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 53
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/OnboardingRoot.js", "JavaScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17, 138
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/ProtectPrivacyIntro.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 35
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/Language.styles.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/OnboardingPages.styles.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/Styles/OnboardingRoot.styles.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 48
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Onboarding/TogetherAcceptTermsIntro.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 66
"/Users/marcdertiger/Projects/DistanceNB/App/Containers/Setup/BluetoothPermissionsSetup.js", "JavaScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 58
